Aspalt(for bike) Accelerrated vel,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
114518,558,0,1.77,5.26,9.85
114522,558,0,1.8,5.33,9.45
114526,558,0,1.88,5.18,9.73
114530,558,0,1.84,5.26,9.89
114533,558,0,1.96,5.22,9.45
114537,558,0,1.88,5.22,9.69
114541,558,0,1.84,5.22,9.92
114545,558,0,1.84,5.22,9.73
114548,558,0,1.92,5.26,9.69
114552,558,0,1.84,5.14,9.89
114556,558,0,1.88,5.22,9.85
114561,558,0,1.84,5.22,9.81
114564,558,0,1.8,5.22,9.89
114568,558,0,1.88,5.18,9.89
114572,558,0,1.84,5.18,9.65
114576,558,0,1.88,5.14,9.81
114579,558,0,1.92,5.22,9.53
114583,558,0,1.8,5.26,9.57
114587,558,0,1.88,5.33,9.49
114591,558,0,1.8,5.02,9.69
114594,558,0,1.96,5.18,9.69
114598,558,0,1.96,5.14,9.61
114603,558,0,1.88,5.33,9.77
114607,558,0,1.92,5.33,9.81
114610,558,0,1.96,5.3,9.77
114614,558,0,2.08,5.18,9.77
114618,558,0,1.92,5.14,9.61
114622,558,0,2.04,5.26,9.81
114625,558,0,2.08,5.14,9.89
114629,558,0,2.16,5.1,9.92
114633,558,0,2.2,5.22,9.57
114637,558,0,2.28,5.1,9.69
114640,558,0,2.28,5.26,9.65
114644,558,0,2.2,5.3,9.53
114649,558,0,2.16,5.26,9.69
114653,558,0,2.2,5.14,9.85
114656,558,0,2.2,5.26,9.61
114660,558,0,2.2,5.26,9.34
114664,558,0,2.16,5.33,9.65
114668,558,0,2.12,5.06,9.73
114671,558,0,2.04,5.3,10
114675,558,0,2.04,5.3,9.57
114679,558,0,2.08,5.3,9.57
114683,558,0,1.88,5.3,9.69
114686,558,0,1.96,5.33,9.57
114691,558,0,2,5.33,9.57
114695,558,0,2,5.3,9.77
114699,558,0,2.04,5.3,9.38
114702,558,0,2.04,5.37,9.53
114706,558,0,1.96,5.33,9.61
114710,558,0,1.96,5.22,9.61
114714,558,0,1.96,5.53,9.77
114717,558,0,1.8,5.1,9.65
114721,558,0,1.77,5.22,9.69
114725,558,0,0.04,6.9,10.83
114729,558,0,0.55,5.92,8
114733,558,0,2.24,4.9,10.9
114737,558,0,1.49,5.45,9.41
114741,558,0,2.04,5.22,9.45
114745,558,0,1.84,5.26,9.77
114748,558,0,1.88,5.3,9.85
114752,558,0,2.12,5.1,9.41
114756,558,0,1.84,5.33,9.18
114760,558,0,1.88,5.18,9.69
114763,558,0,1.84,5.18,9.69
114767,558,0,1.8,5.1,9.92
114771,558,0,1.96,5.02,9.69
114776,558,0,1.88,5.18,9.53
114779,558,0,1.88,5.1,9.81
114783,558,0,1.92,5.22,9.85
114787,558,0,1.8,5.06,9.77
114791,558,0,1.88,5.14,9.73
114794,558,0,1.88,5.14,9.45
114798,558,0,1.84,5.22,9.73
114802,558,0,2.35,5.06,9.89
114806,558,0,2.2,5.06,9.61
114809,558,0,2.12,5.18,9.85
114813,558,0,2.08,5.22,9.53
114818,558,0,2.08,5.26,9.73
114822,558,0,2.04,5.18,10.04
114825,558,0,2.04,5.3,9.85
114829,558,0,2.08,5.26,9.92
114833,558,0,2.12,5.37,9.89
114837,558,0,2.12,5.14,9.89
114840,558,0,2.12,5.26,9.77
114844,558,0,2.16,5.37,9.81
114848,558,0,2.12,5.41,9.77
114852,558,0,2.12,5.41,9.89
114856,558,0,2.12,5.18,9.65
114860,558,0,2.12,5.18,9.92
114864,558,0,2,5.45,9.57
114868,558,0,2.04,5.3,9.57
114872,558,0,2,5.45,9.65
114875,558,0,1.96,5.41,9.77
114879,558,0,2.12,5.22,9.49
114883,558,0,1.96,5.41,9.65
114887,558,0,2.04,5.45,9.69
114890,558,0,2.12,5.3,9.81
114894,558,0,2.16,5.33,9.73
114898,558,0,2.04,5.37,9.81
114903,558,0,2.08,5.33,9.81
114906,558,0,1.92,5.53,9.57
114910,558,0,1.88,5.37,9.57
