Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
14.998,3.374054598,-0.000737678,-0.023649302,0.022551179,5.124645892,-0.00080526
14.998,3.379148112,-0.001037409,-0.031284026,0.020032873,5.124645892,-0.008804968
14.999,3.381694869,-0.001335968,-0.031279685,0.017513515,5.124645892,-0.010349643
15,3.374054598,-0.001633356,-0.023636284,0.014993089,5.124645892,-0.00501089
15,3.374054598,0.0057132,-0.033826424,0.015018709,5.124645892,-0.008074375
15,3.371507841,0.005418261,-0.026188504,0.017590347,5.124645892,-0.004278454
15.001,3.371507841,0.002577022,-0.026195138,0.025255108,5.124645892,-0.004571757
15.002,3.368961083,0.004832222,-0.023657309,0.027824457,5.124645892,-3.8e-05
15.002,3.371507841,0.009636303,-0.021122272,0.027845497,5.124645892,0.008770747
15.002,3.371507841,0.00934656,-0.021137269,0.030412473,5.124645892,0.010037336
15.003,3.374054598,0.011605731,-0.010965995,0.030431124,5.124645892,0.016845566
15.004,3.379148112,0.011318681,-0.008439281,0.030448551,5.124645892,0.018344682
15.004,3.379148112,0.011033008,-0.008462631,0.030464736,5.124645892,0.011888148
15.004,3.379148112,0.010748721,-0.008488771,0.030479656,5.124645892,0.011709493
15.005,3.371507841,0.018108579,-0.018706747,0.020304777,5.124645892,0.000141798
15.006,3.374054598,0.017827158,-0.018738486,0.017769978,5.124645892,-0.002653858
15.006,3.379148112,0.012452036,-0.021320289,0.012686724,5.124645892,-0.018721654
15.006,3.379148112,0.012173536,-0.028999426,0.007602124,5.124645892,-0.035937177
15.007,3.379148112,0.009348945,-0.034134131,0.007610394,5.124645892,-0.043671055
15.008,3.379148112,0.006525852,-0.036724386,-2.41e-05,5.124645892,-0.050292117
15.008,3.376601355,0.008799414,-0.046959273,-0.005112869,5.124645892,-0.060383049
15.008,3.384241627,0.008526922,-0.039366176,-0.010203042,5.124645892,-0.058614192
15.009,3.386788384,0.00061326,-0.047059463,-0.015294653,5.124645892,-0.078022802
15.01,3.381694869,0.007986603,-0.042019293,-0.020387725,5.124645892,-0.070836639
15.01,3.384241627,0.007718806,-0.04207649,-0.022935147,5.124645892,-0.076298237
15.01,3.381694869,0.007452586,-0.042136543,-0.028031207,5.124645892,-0.075563553
15.011,3.379148112,0.002092819,-0.044746708,-0.033128803,5.124645892,-0.086666989
15.012,3.376601355,-0.003265334,-0.042265205,-0.035680808,5.124645892,-0.092001471
15.012,3.381694869,-0.00097914,-0.034692041,-0.030592983,5.124645892,-0.076889957
15.013,3.381694869,-0.006334042,-0.029668984,-0.033148108,5.124645892,-0.079944588
15.013,3.376601355,-0.014234874,-0.024648783,-0.033157707,5.124645892,-0.085959829
15.014,3.379148112,-0.014491329,-0.022178702,-0.030621804,5.124645892,-0.083124062
15.014,3.381694869,-0.017293696,-0.022258749,-0.03318179,5.124645892,-0.085256887
15.014,3.379148112,-0.02009439,-0.014699896,-0.030649185,5.124645892,-0.085486446
15.015,3.376601355,-0.020345826,-0.009691171,-0.028118256,5.124645892,-0.08066536
15.016,3.379148112,-0.023143136,0.000409212,-0.025589036,5.124645892,-0.07357105
15.016,3.379148112,-0.023391173,0.005412222,-0.023061531,5.124645892,-0.070423116
