Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
103.41,3.371507841,-0.025869505,0.038086398,-0.079247784,14.82786885,-0.040366641
103.41,3.379148112,-0.023299828,0.023120603,-0.092632012,14.82786885,-0.064431271
103.41,3.381694869,-0.015634054,0.023443581,-0.095818117,14.82786885,-0.061569012
103.41,3.376601355,-0.020705137,0.018677147,-0.091353016,14.82786885,-0.062940542
103.41,3.371507841,-0.030870365,0.003726753,-0.104707755,14.82786885,-0.087537071
103.42,3.376601355,-0.025749146,-0.003576907,-0.105316649,14.82786885,-0.088926611
103.42,3.376601355,-0.020626895,-0.010875714,-0.103368044,14.82786885,-0.093988047
103.42,3.371507841,-0.028241442,-0.020717012,-0.101408818,14.82786885,-0.10362651
103.42,3.379148112,-0.035854936,-0.020364561,-0.107080183,14.82786885,-0.114431622
103.42,3.381694869,-0.025634358,-0.02255481,-0.094910727,14.82786885,-0.105263082
103.42,3.374054598,-0.023055391,-0.03238237,-0.092918653,14.82786885,-0.107581817
103.42,3.374054598,-0.030665572,-0.03965826,-0.093462384,14.82786885,-0.116932914
103.42,3.381694869,-0.022989205,-0.039288102,-0.096541744,14.82786885,-0.113517371
103.42,3.374054598,-0.015311701,-0.036366539,-0.086873851,14.82786885,-0.098645271
103.42,3.368961083,-0.020370892,-0.048724439,-0.084835524,14.82786885,-0.110619925
103.42,3.371507841,-0.027976488,-0.050889336,-0.082785191,14.82786885,-0.112633548
103.42,3.381694869,-0.017747909,-0.037766848,-0.07308137,14.82786885,-0.088816964
103.42,3.368961083,-0.020256002,-0.037376915,-0.063365279,14.82786885,-0.086193166
103.42,3.366414326,-0.017667726,-0.049719625,-0.06127811,14.82786885,-0.092517834
103.42,3.379148112,-0.012530675,-0.041680751,-0.04644272,14.82786885,-0.071841407
103.42,3.374054598,-0.012487562,-0.033638482,-0.034141739,14.82786885,-0.056334687
103.42,3.363867569,-0.017538327,-0.038329187,-0.029469254,14.82786885,-0.050508121
103.42,3.371507841,-0.007302395,-0.048111246,-0.02733087,14.82786885,-0.046397183
103.42,3.379148112,0.002934774,-0.040059469,-0.009896609,14.82786885,-0.019325157
103.42,3.374054598,-0.002112224,-0.032004777,-0.012826109,14.82786885,-0.025834407
103.42,3.366414326,-0.004610362,-0.039230818,-0.01319507,14.82786885,-0.032357335
103.43,3.381694869,-0.004559667,-0.028623377,-0.018644776,14.82786885,-0.032127165
103.43,3.371507841,0.000587467,-0.020560659,-0.001156738,14.82786885,-0.015430595
103.43,3.368961083,-0.004454365,-0.030326322,-0.004031922,14.82786885,-0.025810514
103.43,3.371507841,-0.004399751,-0.02735338,-0.00689325,14.82786885,-0.029663369
103.43,3.379148112,0.00584646,-0.019283761,0.002994991,14.82786885,-0.0102855
103.43,3.366414326,0.003356152,-0.021401135,0.00780305,14.82786885,-0.010729681
103.43,3.371507841,0.000867165,-0.028611103,0.00753104,14.82786885,-0.018787525
103.43,3.376601355,0.008569796,-0.015441209,0.007273265,14.82786885,-0.004226739
103.43,3.371507841,0.01627375,-0.002269663,0.022312604,14.82786885,0.027704499
103.43,3.363867569,0.006146042,-0.006927392,0.027177883,14.82786885,0.023996393
103.43,3.371507841,0.013852687,-0.009036471,0.029510553,14.82786885,0.03015169
103.43,3.376601355,0.011370398,-0.006049795,0.036952049,14.82786885,0.03044606
103.43,3.366414326,0.011437057,-0.003061996,0.044408204,14.82786885,0.038415047
103.43,3.371507841,0.001314788,-0.010262237,0.041690609,14.82786885,0.024360632
103.43,3.381694869,0.006479301,0.00291641,0.036440687,14.82786885,0.036994676
103.43,3.371507841,0.014192756,0.013548509,0.051582597,14.82786885,0.059363298
103.43,3.368961083,0.001526995,0.011444893,0.043815295,14.82786885,0.042493669
103.43,3.374054598,0.009243183,0.004247194,0.041157211,14.82786885,0.044210231
103.43,3.376601355,0.019508298,0.004691544,0.046155512,14.82786885,0.055017783
103.44,3.374054598,0.017036916,0.00513604,0.043527488,14.82786885,0.053018228
103.44,3.374054598,0.012019328,-0.014797523,0.03327317,14.82786885,0.025343
103.44,3.379148112,0.024836108,-0.011805897,0.035769598,14.82786885,0.035986461
103.44,3.371507841,0.022368804,-0.006267315,0.040828291,14.82786885,0.040847594
103.44,3.366414326,0.009712555,-0.013465435,0.033166525,14.82786885,0.022628113
103.44,3.368961083,0.004700382,-0.020664133,0.025519953,14.82786885,0.005659276
103.44,3.376601355,0.009879851,-0.01258,0.030624193,14.82786885,0.020892762
103.44,3.374054598,0.002322794,-0.004496721,0.028102253,14.82786885,0.023488613
103.44,3.368961083,0.004957391,-0.011697993,0.01795414,14.82786885,0.017644543
103.44,3.371507841,0.010140919,-0.00871137,0.020556856,14.82786885,0.026183487
103.44,3.374054598,0.010230634,-0.000631527,0.023174753,14.82786885,0.03275908
103.44,3.366414326,0.002678965,-0.000194898,0.013072199,14.82786885,0.022225781
103.44,3.374054598,0.005318904,0.000240163,0.002984808,14.82786885,0.015253359
103.44,3.376601355,0.007960138,0.010862517,0.00564819,14.82786885,0.024182501
103.44,3.374054598,-0.002135208,0.018935741,0.010873812,14.82786885,0.025456296
103.44,3.363867569,-0.009681687,0.011723401,-0.004262509,14.82786885,-0.000857002
103.44,3.374054598,-0.001941436,0.007056156,-0.004101031,14.82786885,0.004829344
103.44,3.376601355,0.005800094,0.012575638,-0.006471657,14.82786885,0.007066654
103.44,3.368961083,-0.001742567,0.012998166,-0.003733074,14.82786885,0.009606129
103.44,3.371507841,-0.00673639,0.000681798,-0.021356574,14.82786885,-0.018860136
103.45,3.381694869,-0.004086236,0.003646247,-0.016041056,14.82786885,-0.012107811
103.45,3.366414326,-0.006530017,0.006607813,-0.008163601,14.82786885,-0.005099144
103.45,3.376601355,-0.016615293,0.00192458,-0.018101295,14.82786885,-0.021754498
103.45,3.376601355,-0.013961475,0.012521723,-0.022930061,14.82786885,-0.018782806
103.45,3.374054598,-0.011306479,0.015473782,-0.020102823,14.82786885,-0.015321052
103.45,3.363867569,-0.016293041,0.01587512,-0.022355321,14.82786885,-0.018078282
103.45,3.374054598,-0.023826019,0.011178347,-0.02968762,14.82786885,-0.032636607
103.45,3.381694869,-0.018619956,0.024308662,-0.021722791,14.82786885,-0.010229846
103.45,3.374054598,-0.013412759,0.024698773,-0.016290817,14.82786885,0.001190765
103.45,3.368961083,-0.02094232,0.025084853,-0.021033182,14.82786885,-0.005871224
103.45,3.381694869,-0.010637742,0.022919514,-0.02321435,14.82786885,-0.004053555
103.45,3.374054598,-0.002879643,0.036033438,-0.020287255,14.82786885,0.009979697
103.45,3.368961083,-0.012953502,0.028764855,-0.009704932,14.82786885,0.010343409
103.45,3.371507841,-0.020478718,0.029133497,-0.01693874,14.82786885,0.005732127
103.45,3.381694869,-0.01781257,0.039686479,-0.013970372,14.82786885,0.012354389
103.45,3.374054598,-0.020240571,0.042592852,-0.008441352,14.82786885,0.01520348
103.45,3.366414326,-0.037953003,0.030210722,-0.01818171,14.82786885,-0.013186549
103.45,3.376601355,-0.02764112,0.020370756,-0.010078896,14.82786885,-0.005305701
103.45,3.384241627,-0.014780708,0.018167364,-0.007057155,14.82786885,-0.001308727
103.45,3.366414326,-0.017204808,0.01850586,-0.006569558,14.82786885,0.000552032
103.46,3.371507841,-0.011985236,0.011197103,-0.013710486,14.82786885,-0.002619591
103.46,3.381694869,-0.004217163,0.014071804,-0.000461666,14.82786885,0.0143512
103.46,3.374054598,-0.009186108,0.016940735,-0.00248305,14.82786885,0.007203376
103.46,3.371507841,-0.016701755,0.001973002,-0.017227665,14.82786885,-0.022779007
103.46,3.376601355,-0.011478665,-0.010453459,-0.014130115,14.82786885,-0.030194132
103.46,3.384241627,-0.008802339,3.93e-05,-0.01102048,14.82786885,-0.022113542
