Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
87.14,3.381694869,-0.03646549,-0.076221111,-0.030373057,8.911330049,-0.052980828
87.14,3.374054598,-0.023771656,-0.066127979,-0.030299188,8.911330049,-0.04079876
87.14,3.371507841,-0.034007386,-0.068770197,-0.035317669,8.911330049,-0.048561386
87.141,3.381694869,-0.021316286,-0.071411464,-0.04033424,8.911330049,-0.050036949
87.142,3.368961083,-0.021364405,-0.068957233,-0.035160434,8.911330049,-0.04450687
87.142,3.376601355,-0.029056547,-0.074143785,-0.047814671,8.911330049,-0.059754094
87.142,3.374054598,-0.013821821,-0.061498515,-0.037542955,8.911330049,-0.033050449
87.143,3.368961083,-0.024064103,-0.071777548,-0.032363702,8.911330049,-0.045320137
87.144,3.381694869,-0.016474625,-0.069319259,-0.027182707,8.911330049,-0.034256683
87.144,3.366414326,-0.019076668,-0.069407174,-0.014358637,8.911330049,-0.03102089
87.145,3.374054598,-0.019132348,-0.069494019,-0.019362764,8.911330049,-0.037558398
87.145,3.374054598,-0.011546499,-0.056843529,0.001105974,8.911330049,-0.01846271
87.146,3.368961083,-0.016699642,-0.054380961,-0.006442055,8.911330049,-0.029291682
87.146,3.381694869,-0.001473345,-0.039181026,0.008935598,8.911330049,0.002509485
87.146,3.368961083,-0.009176286,-0.026527256,0.019220505,8.911330049,0.010049274
87.147,3.374054598,-0.00414244,-0.026608654,0.016771285,8.911330049,0.005398953
87.148,3.374054598,0.000890355,-0.00376362,0.032153351,8.911330049,0.026576555
87.148,3.368961083,-0.004268131,-0.006389992,0.03225409,8.911330049,0.026507753
87.148,3.379148112,0.010952951,0.00117383,0.042544702,8.911330049,0.044776708
87.149,3.368961083,0.000697326,0.003644321,0.052836635,8.911330049,0.044991375
87.15,3.376601355,0.013368923,0.001021519,0.063129875,8.911330049,0.061793947
87.15,3.376601355,0.010754159,0.013683443,0.078518589,8.911330049,0.07841632
87.151,3.368961083,0.010686115,0.013610308,0.076078638,8.911330049,0.072666727
87.151,3.381694869,0.020807484,0.013538403,0.094016833,8.911330049,0.085684674
