Brick,,,,,
TIME,delta,Vel(km/h),Acc x (m/s^2),Acc y (m/s^2),Acc z (m/s^2)
253850,484,0,1.8,5.02,9.65
253854,484,0,1.73,5.26,9.26
253857,484,0,1.84,4.9,9.53
283743,760,0,2.16,5.33,9.14
283746,760,0,2.2,5.06,9.18
283750,760,0,2.16,5.1,9.26
283754,760,0,2.35,5.14,9.14
283758,760,0,2.12,5.14,9.14
283761,760,0,2.12,5.18,9.45
283765,760,0,2,5.14,9.45
283769,760,0,1.92,5.22,9.73
283773,760,0,1.96,5.18,9.69
283777,760,0,2,5.26,9.73
283781,760,0,1.96,5.18,9.77
283785,760,0,2.16,5.1,9.85
283789,760,0,2.43,5.02,9.73
283792,760,0,2.43,5.06,9.45
283796,760,0,2.47,5.02,9.38
283800,760,0,2.43,5.14,9.45
283804,760,0,2.16,5.06,9.69
283807,760,0,2,5.18,9.77
283811,760,0,1.65,5.33,9.45
283815,760,0,1.69,5.26,9.3
283820,760,0,1.57,5.41,9.53
283823,760,0,1.49,5.22,9.69
283827,760,0,1.77,5.26,9.61
283831,760,0,1.84,5.22,9.89
283835,760,0,1.92,5.26,9.89
283838,760,0,2.04,5.3,9.65
283842,760,0,2.04,5.3,9.38
283846,760,0,2.16,5.3,9.53
283850,760,0,2.31,5.14,9.38
283853,760,0,2.28,5.1,9.65
283857,760,0,2.16,5.3,9.45
283862,760,0,1.96,5.1,9.73
283866,760,0,1.84,5.26,9.73
283869,760,0,1.88,5.22,9.73
283873,760,0,1.69,5.18,9.92
283877,760,0,1.84,5.18,9.73
283881,760,0,1.8,5.1,9.77
283884,760,0,1.88,5.02,9.61
283888,760,0,1.92,5.06,9.34
283892,760,0,2.04,4.86,9.69
283896,760,0,2.16,5.1,9.34
283899,760,0,2.08,5.06,9.3
283904,760,0,2,4.94,9.61
283908,760,0,2.16,5.02,9.89
283912,760,0,2.04,5.02,10
283915,760,0,1.96,4.98,9.73
283919,760,0,1.96,5.3,9.61
283923,760,0,1.88,5.02,10.16
283927,760,0,1.73,4.94,9.77
283930,760,0,1.88,5.22,9.69
283934,760,0,1.77,5.1,9.53
283938,760,0,1.92,5.1,9.26
283942,760,0,2,4.94,9.61
283947,760,0,1.88,4.94,9.61
283950,760,0,2,5.02,9.38
283954,760,0,1.96,5.02,9.53
283958,760,0,1.96,4.86,9.81
283961,760,0,1.96,5.14,9.49
283965,760,0,1.92,5.18,9.41
283969,760,0,1.96,5.18,9.61
283973,760,0,2.08,5.1,9.49
283977,760,0,2.16,5.1,9.89
283980,760,0,2.31,5.1,9.3
283984,760,0,2.28,5.06,9.38
283988,760,0,2.28,5.18,9.49
283993,760,0,2.31,5.1,9.57
283996,760,0,2.43,5.14,9.38
284000,760,0,2.35,5.18,9.18
284004,760,0,2.43,5.18,9.53
284008,760,0,2.43,5.18,9.57
284011,760,0,2.47,5.18,9.49
284015,760,0,2.28,5.33,9.57
284019,760,0,2.28,5.33,9.3
284023,760,0,2.24,5.33,9.38
284026,760,0,2.16,5.3,9.41
284030,760,0,2.35,5.33,9.57
284035,760,0,2.31,5.14,9.61
284039,760,0,2.28,5.1,9.45
284042,760,0,2.35,5.1,9.57
284046,760,0,2.39,5.45,9.45
284050,760,0,2.28,5.3,9.53
284054,760,0,2.24,5.14,9.14
284057,760,0,2.28,5.14,9.53
284061,760,0,2.24,5.18,9.65
284065,760,0,2.16,5.26,9.69
284069,760,0,2.12,5.26,9.61
284072,760,0,2.2,5.41,9.65
284077,760,0,2.2,5.1,9.65
284081,760,0,2.2,5.41,9.53
284085,760,0,2.35,5.18,9.53
284088,760,0,2.67,5.14,9.57
284092,760,0,2.63,4.98,9.34
284096,760,0,2.67,5.02,9.34
284100,760,0,2.67,4.98,9.06
284103,760,0,2.39,5.1,9.22
284107,760,0,2.31,5.1,9.18
284111,760,0,2.16,5.1,9.38
284115,760,0,2.16,5.3,9.53
284120,760,0,2.08,5.1,9.77
284123,760,0,2.16,5.06,9.65
284127,760,0,2.12,5.02,9.81
284131,760,0,2.08,5.14,9.85
284135,760,0,2,5.06,9.85
284138,760,0,2.12,5.1,9.49
284142,760,0,2.04,5.06,9.57
284146,760,0,2.04,4.98,9.53
284149,760,0,1.96,5.06,9.53
284153,760,0,1.8,4.94,9.77
284157,760,0,1.69,4.94,9.69
284162,760,0,1.69,4.98,9.69
284165,760,0,1.77,5.06,9.53
284169,760,0,1.88,4.98,9.49
284173,760,0,2,5.02,9.49
284177,760,0,2.04,5.06,9.69
284180,760,0,2.24,4.98,9.73
284184,760,0,2.35,5.14,9.61
284188,760,0,2.31,4.9,9.45
284192,760,0,2.31,5.3,9.73
284195,760,0,2.31,5.26,9.41
284199,760,0,2.28,5.33,9.38
284204,760,0,2.28,5.14,9.45
284208,760,0,2.28,5.37,9.41
284211,760,0,2.08,5.26,9.61
284215,760,0,2,5.37,9.45
284219,760,0,1.8,5.57,9.73
284223,760,0,1.73,5.41,9.53
284226,760,0,1.65,5.26,9.81
284230,760,0,1.77,5.49,9.45
284234,760,0,1.8,5.37,9.41
284238,760,0,1.84,5.37,9.65
284241,760,0,1.88,5.45,9.34
284246,760,0,1.88,5.41,9.14
284250,760,0,1.92,5.3,9.38
284254,760,0,1.84,5.3,9.34
284257,760,0,1.92,5.33,9.26
284261,760,0,2,5.33,9.45
284265,760,0,1.96,5.41,9.61
284269,760,0,2.08,5.3,9.34
284272,760,0,2.12,5.33,9.53
284276,760,0,2.16,5.18,9.45
284280,760,0,2.16,5.22,9.38
284284,760,0,2.43,5.1,9.69
284289,760,0,2.43,5.06,9.49
284292,760,0,2.47,5.1,9.34
284296,760,0,2.28,5.18,9.57
284300,760,0,2.12,5.26,9.69
284304,760,0,1.96,5.18,9.57
284307,760,0,1.92,5.02,9.65
284311,760,0,1.88,4.98,9.85
284315,760,0,1.88,5.06,9.69
284319,760,0,1.96,4.82,9.73
284322,760,0,2,4.98,9.69
284326,760,0,2,4.94,9.69
284331,760,0,2,4.98,9.57
284334,760,0,2.16,5.02,9.69
284338,760,0,2.04,5.02,9.69
284342,760,0,2.04,4.75,9.77
284346,760,0,1.84,4.79,9.69
284349,760,0,1.73,4.82,9.85
